SlNo,StationName,Organization,Latitude,Longitude,SiteID
1,BTMLayout,CPCB,12.9135218,77.5950804,162
2,BWSSBKadabesanahalli,CPCB,12.9352049,77.6814488,164
3,BapujiNagar,KSPCB,12.951913,77.539784,1553
4,CityRailwayStation,KSPCB,12.9756843,77.5660749,165
5,Hebbal,KSPCB,13.029152,77.585901,1554
6,HombegowdaNagar,KSPCB,12.938539,77.590100,1555
7,Jayanagar5thBlock,KSPCB,12.920984,77.584908,1556
8,Jigani,KSPCB,12.7816279,77.6299145,5729
9,KasturiNagar,KSPCB,13.003872,77.664217,5681
10,Peenya,CPCB,13.0270199,77.494094,163
11,RVCE-Mailasandra,KSPCB,12.921418,77.502466,5678
12,SaneguravaHalli,KSPCB,12.990328,77.5431385,166
13,Shivapura_Peenya,KSPCB,13.0246342,77.5080115,5686
14,SilkBoard,KSPCB,12.917348,77.622813,1558
